QSPRID,SMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro),QSPRID,pIC50 (MERS-CoV Mpro)_original,Split_IsTrain,predicted MERS
MultiTaskTutorialDataset_103,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)C[C@@H](C)O1,ASAP-0015679,Test,6.41,7.52,MultiTaskTutorialDataset_103,6.41,False,5.579066227688304
MultiTaskTutorialDataset_104,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0015773,Test,6.05,7.94,MultiTaskTutorialDataset_104,6.05,True,5.644718434891199
MultiTaskTutorialDataset_105,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)N(C)C)c2cc(Cl)ccc2C1=O,ASAP-0015777,Test,4.75,7.12,MultiTaskTutorialDataset_105,4.75,True,5.596753245694049
MultiTaskTutorialDataset_106,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(C1CCNCC1)C(=O)c1ccc(Cl)cc12,ASAP-0015900,Test,6.33,7.62,MultiTaskTutorialDataset_106,6.33,False,5.377417570015626
MultiTaskTutorialDataset_107,O=C1c2ccc(Cl)cc2[C@@]2(CN1CC1COC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ccncn1,ASAP-0015904,Test,7.04,7.59,MultiTaskTutorialDataset_107,7.04,True,5.840366177539285
MultiTaskTutorialDataset_108,Cc1nnc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3ccncn3)c3cc(Cl)ccc3C2=O)o1,ASAP-0015906,Test,6.77,7.54,MultiTaskTutorialDataset_108,6.77,True,5.8263924519420955
MultiTaskTutorialDataset_109,C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc21,ASAP-0016094,Test,6.16,7.74,MultiTaskTutorialDataset_109,6.16,True,5.302596421783928
MultiTaskTutorialDataset_110,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2N)c2cc(Cl)ccc2C1=O,ASAP-0016508,Test,5.69,7.29,MultiTaskTutorialDataset_110,5.69,True,5.295561787936107
MultiTaskTutorialDataset_111,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1ccnnc1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ccncn1,ASAP-0016539,Test,7.29,8.02,MultiTaskTutorialDataset_111,7.29,True,5.815769074158326
MultiTaskTutorialDataset_112,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0016541,Test,5.86,7.88,MultiTaskTutorialDataset_112,5.86,True,5.412012963096882
MultiTaskTutorialDataset_113,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCC1)C(=O)c1ccc(Cl)cc12,ASAP-0016542,Test,6.03,7.4,MultiTaskTutorialDataset_113,6.03,False,5.5463462438353
MultiTaskTutorialDataset_114,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NC(C)C)c2cc(Cl)ccc2C1=O,ASAP-0016543,Test,5.18,6.71,MultiTaskTutorialDataset_114,5.18,True,5.288147109456367
MultiTaskTutorialDataset_115,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)C[C@H](C)O1,ASAP-0016591,Test,6.49,7.57,MultiTaskTutorialDataset_115,6.49,False,5.579066227688304
MultiTaskTutorialDataset_116,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NC)c2cc(Cl)ccc2C1=O,ASAP-0016592,Test,5.97,8.07,MultiTaskTutorialDataset_116,5.97,True,5.286012780899041
MultiTaskTutorialDataset_117,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NS(C)(=O)=O)c2cc(Cl)ccc2C1=O,ASAP-0016838,Test,4.75,6.26,MultiTaskTutorialDataset_117,4.75,True,5.280984258379224
MultiTaskTutorialDataset_118,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0016902,Test,5.89,8.65,MultiTaskTutorialDataset_118,5.89,True,5.2746311652899305
MultiTaskTutorialDataset_119,COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,ASAP-0016973,Test,4.37,4.35,MultiTaskTutorialDataset_119,4.37,True,4.837017264913441
MultiTaskTutorialDataset_120,COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,ASAP-0016974,Test,7.18,8.68,MultiTaskTutorialDataset_120,7.18,True,4.837017264913441
MultiTaskTutorialDataset_121,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1nnco1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ncncn1,ASAP-0017058,Test,6.81,7.3,MultiTaskTutorialDataset_121,6.81,True,5.776865111777145
MultiTaskTutorialDataset_122,CCO[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC)C(=O)c1ccc(Cl)cc12,ASAP-0017386,Test,5.57,7.37,MultiTaskTutorialDataset_122,5.57,True,5.308126275769683
MultiTaskTutorialDataset_123,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1ccnnc1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nncs1,ASAP-0017647,Test,7.6,8.62,MultiTaskTutorialDataset_123,7.6,True,5.761906605849454
MultiTaskTutorialDataset_124,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2OCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0017685,Test,5.48,8.28,MultiTaskTutorialDataset_124,5.48,True,5.348107696113033
MultiTaskTutorialDataset_125,COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,ASAP-0017714,Test,7.16,8.64,MultiTaskTutorialDataset_125,7.16,True,4.837017264913441
MultiTaskTutorialDataset_126,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NC(C)=O)c2cc(Cl)ccc2C1=O,ASAP-0020941,Test,4.26,5.88,MultiTaskTutorialDataset_126,4.26,True,5.286012780899041
MultiTaskTutorialDataset_127,CCS(=O)(=O)N[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC)C(=O)c1ccc(Cl)cc12,ASAP-0021174,Test,4.28,6.87,MultiTaskTutorialDataset_127,4.28,True,5.322188050872984
MultiTaskTutorialDataset_128,Cc1nnc(Sc2cc(-c3ccccc3)nc3ncnn23)n1C,ASAP-0022922,Test,5.56,5.2,MultiTaskTutorialDataset_128,5.56,True,4.716627142895897
MultiTaskTutorialDataset_129,Cc1cc(Sc2nnc(-c3ccc(Cl)cc3)n2C)n2ncnc2n1,ASAP-0023179,Test,4.99,,MultiTaskTutorialDataset_129,4.99,False,4.797471227572616
MultiTaskTutorialDataset_130,O=C1c2ccc(Cl)cc2[C@@]2(CN1CC1CNC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nccs1,ASAP-0027780,Test,7.0,8.09,MultiTaskTutorialDataset_130,7.0,True,5.773879488412564
MultiTaskTutorialDataset_131,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cccnc2)cc1,ASAP-0027924,Test,4.51,4.99,MultiTaskTutorialDataset_131,4.51,False,5.0174790055526035
MultiTaskTutorialDataset_132,C[C@H]1COCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0027927,Test,4.3,,MultiTaskTutorialDataset_132,4.3,True,4.580217529745379
MultiTaskTutorialDataset_133,C[C@H]1CCCN1C(=O)Cc1cncc2ccccc12,ASAP-0027930,Test,4.72,,MultiTaskTutorialDataset_133,4.72,True,4.687262554740181
MultiTaskTutorialDataset_134,O=C(Cc1cncc2ccccc12)N1CCOCC1,ASAP-0027942,Test,4.26,,MultiTaskTutorialDataset_134,4.26,False,4.470854694671572
MultiTaskTutorialDataset_135,C[C@H]1COCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0027948,Test,4.32,,MultiTaskTutorialDataset_135,4.32,True,4.6000413464944305
MultiTaskTutorialDataset_136,C[C@H]1CCCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0027949,Test,4.64,4.9,MultiTaskTutorialDataset_136,4.64,True,4.7106994651274565
MultiTaskTutorialDataset_137,C[C@H]1CCCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0027969,Test,4.03,4.87,MultiTaskTutorialDataset_137,4.03,True,4.763952938352338
MultiTaskTutorialDataset_138,O=C(Cc1cncc2ccccc12)N1CCc2[nH]cnc2C1,ASAP-0027975,Test,4.36,4.83,MultiTaskTutorialDataset_138,4.36,True,4.592939466908391
MultiTaskTutorialDataset_139,O=C(Cc1cncc2ccccc12)N1CCc2sccc2C1,ASAP-0027976,Test,5.21,6.27,MultiTaskTutorialDataset_139,5.21,True,4.604332112276352
MultiTaskTutorialDataset_140,C[C@H]1COCCN1C(=O)Cc1cncc2ccccc12,ASAP-0027986,Test,4.3,,MultiTaskTutorialDataset_140,4.3,True,4.587700134188131
MultiTaskTutorialDataset_141,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0027994,Test,5.13,5.7,MultiTaskTutorialDataset_141,5.13,False,4.759633519871129
MultiTaskTutorialDataset_142,O=C(Cc1cncc2ccccc12)N1CCCCCC1,ASAP-0027997,Test,4.51,4.74,MultiTaskTutorialDataset_142,4.51,False,4.711574628040673
MultiTaskTutorialDataset_143,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc(C)c2)cc1,ASAP-0028001,Test,5.11,5.78,MultiTaskTutorialDataset_143,5.11,False,5.038157752138871
MultiTaskTutorialDataset_144,O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccc2cc[nH]c2c1,ASAP-0028002,Test,5.63,6.23,MultiTaskTutorialDataset_144,5.63,True,5.17851874750077
MultiTaskTutorialDataset_145,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0028004,Test,3.99,4.63,MultiTaskTutorialDataset_145,3.99,True,4.731683635414453
MultiTaskTutorialDataset_146,C[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0028012,Test,4.42,4.37,MultiTaskTutorialDataset_146,4.42,True,4.684394224522484
MultiTaskTutorialDataset_147,C[C@H]1CN(C(=O)Cc2cncc3ccccc23)CCO1,ASAP-0028804,Test,4.24,4.09,MultiTaskTutorialDataset_147,4.24,True,4.586151228872102
MultiTaskTutorialDataset_148,O=C(Cc1cncc2ccccc12)N1CCC1,ASAP-0028810,Test,4.22,,MultiTaskTutorialDataset_148,4.22,False,4.65458343426994
MultiTaskTutorialDataset_149,O=C(Cc1cncc2ccccc12)N1CCn2nccc2C1,ASAP-0028815,Test,4.28,4.16,MultiTaskTutorialDataset_149,4.28,False,4.6668993151190294
MultiTaskTutorialDataset_150,Cc1nc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc2[nH]1,ASAP-0028818,Test,5.92,6.47,MultiTaskTutorialDataset_150,5.92,True,5.2357414244084355
MultiTaskTutorialDataset_151,C[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028819,Test,4.65,5.12,MultiTaskTutorialDataset_151,4.65,True,4.736870592983256
MultiTaskTutorialDataset_152,C[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028820,Test,5.52,6.51,MultiTaskTutorialDataset_152,5.52,True,4.736870592983256
MultiTaskTutorialDataset_153,O=C(Cc1cncc2ccccc12)N1CCc2c(Cl)cccc2C1,ASAP-0028823,Test,4.49,6.39,MultiTaskTutorialDataset_153,4.49,True,4.706120575896982
MultiTaskTutorialDataset_154,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0028829,Test,4.09,4.44,MultiTaskTutorialDataset_154,4.09,True,4.751982815767414
MultiTaskTutorialDataset_155,C[C@H]1CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028830,Test,4.24,,MultiTaskTutorialDataset_155,4.24,True,4.717515446154392
MultiTaskTutorialDataset_156,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cnccc2C)cc1,ASAP-0028832,Test,4.79,5.44,MultiTaskTutorialDataset_156,4.79,False,5.0569597910609385
MultiTaskTutorialDataset_157,O=C(Cc1cncc2ccccc12)N1CCCn2nccc2C1,ASAP-0028833,Test,4.32,4.11,MultiTaskTutorialDataset_157,4.32,False,4.649547066557528
MultiTaskTutorialDataset_158,CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028837,Test,5.8,6.87,MultiTaskTutorialDataset_158,5.8,True,4.766761410327055
MultiTaskTutorialDataset_159,CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028838,Test,4.64,5.18,MultiTaskTutorialDataset_159,4.64,True,4.766761410327055
MultiTaskTutorialDataset_160,O=C(Cc1cncc2ccccc12)N1CCCC1,ASAP-0028841,Test,4.3,,MultiTaskTutorialDataset_160,4.3,False,4.682363163276757
MultiTaskTutorialDataset_161,O=C(Cc1cncc2ccccc12)N1CCCOCC1,ASAP-0028843,Test,4.3,,MultiTaskTutorialDataset_161,4.3,False,4.523010405712517
MultiTaskTutorialDataset_162,Cc1nc2c(n1C)CCN(C(=O)Cc1cncc3ccccc13)C2,ASAP-0028844,Test,4.26,4.4,MultiTaskTutorialDataset_162,4.26,True,4.669771782122375
MultiTaskTutorialDataset_163,Cn1cnc2c1CCN(C(=O)Cc1cncc3ccccc13)C2,ASAP-0028855,Test,3.91,5.01,MultiTaskTutorialDataset_163,3.91,True,4.687469463730867
MultiTaskTutorialDataset_164,CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0028856,Test,5.51,5.73,MultiTaskTutorialDataset_164,5.51,False,4.736882037317991
MultiTaskTutorialDataset_165,CC1CN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0028866,Test,4.41,,MultiTaskTutorialDataset_165,4.41,False,4.713310348093319
MultiTaskTutorialDataset_166,O=C(Cc1cncc2ccccc12)N1CCCCC1,ASAP-0028867,Test,4.11,4.22,MultiTaskTutorialDataset_166,4.11,False,4.692816948896576
MultiTaskTutorialDataset_167,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)CCO1,ASAP-0028872,Test,3.75,4.35,MultiTaskTutorialDataset_167,3.75,False,4.574799435717828
MultiTaskTutorialDataset_168,C[C@H]1CN(C(=O)Cc2cncc3ccccc23)CCCO1,ASAP-0028881,Test,4.23,,MultiTaskTutorialDataset_168,4.23,True,4.546375567687796
MultiTaskTutorialDataset_169,C[C@H]1CCOCCN1C(=O)Cc1cncc2ccccc12,ASAP-0028889,Test,4.33,,MultiTaskTutorialDataset_169,4.33,True,4.587964024003414
MultiTaskTutorialDataset_170,O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccc2nc[nH]c2c1,ASAP-0028999,Test,5.64,6.21,MultiTaskTutorialDataset_170,5.64,True,5.204170627991954
MultiTaskTutorialDataset_171,CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029287,Test,5.36,6.47,MultiTaskTutorialDataset_171,5.36,False,4.710825264031674
MultiTaskTutorialDataset_172,CC(F)(F)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029423,Test,4.58,6.23,MultiTaskTutorialDataset_172,4.58,False,4.763780821794834
MultiTaskTutorialDataset_173,O=C(Cc1cncc2ccccc12)N1CCC(C(F)F)CC1,ASAP-0029539,Test,5.09,5.92,MultiTaskTutorialDataset_173,5.09,False,4.615349642032005
MultiTaskTutorialDataset_174,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nncs3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029560,Test,7.4,8.6,MultiTaskTutorialDataset_174,7.4,True,5.77558302627701
MultiTaskTutorialDataset_175,CC(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029604,Test,5.56,6.33,MultiTaskTutorialDataset_175,5.56,False,4.682070884141949
MultiTaskTutorialDataset_176,C[C@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,ASAP-0029634,Test,5.49,5.87,MultiTaskTutorialDataset_176,5.49,True,4.780717362442334
MultiTaskTutorialDataset_177,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnc(C)o3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029643,Test,6.89,7.75,MultiTaskTutorialDataset_177,6.89,True,5.755158596893506
MultiTaskTutorialDataset_178,CCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029657,Test,5.44,6.04,MultiTaskTutorialDataset_178,5.44,False,4.68615405079507
MultiTaskTutorialDataset_179,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnco3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029694,Test,7.4,8.64,MultiTaskTutorialDataset_179,7.4,True,5.716504622121972
MultiTaskTutorialDataset_180,CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029707,Test,5.14,5.66,MultiTaskTutorialDataset_180,5.14,False,4.692668791231226
MultiTaskTutorialDataset_181,C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,ASAP-0029738,Test,5.57,5.68,MultiTaskTutorialDataset_181,5.57,True,4.827260902764136
MultiTaskTutorialDataset_182,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnc(C(F)(F)F)o3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029741,Test,6.96,7.89,MultiTaskTutorialDataset_182,6.96,True,5.76206121768937
MultiTaskTutorialDataset_183,O=C(Cc1cncc2ccccc12)N1CCC(C(F)(F)F)CC1,ASAP-0029947,Test,5.37,6.55,MultiTaskTutorialDataset_183,5.37,False,4.68092398994496
MultiTaskTutorialDataset_184,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nncs1,ASAP-0029984,Test,6.73,8.24,MultiTaskTutorialDataset_184,6.73,True,5.818875844431644
MultiTaskTutorialDataset_185,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nnc(C(F)(F)F)o1,ASAP-0029987,Test,6.69,7.67,MultiTaskTutorialDataset_185,6.69,True,5.772854839027797
MultiTaskTutorialDataset_186,COCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0030055,Test,3.87,4.89,MultiTaskTutorialDataset_186,3.87,False,4.571996077534643
MultiTaskTutorialDataset_187,CC(C)C1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031146,Test,5.56,6.21,MultiTaskTutorialDataset_187,5.56,False,4.7074482322855555
MultiTaskTutorialDataset_188,CCc1ccc([C@H]2C[C@H](C)CCN2C(=O)Cc2cncc3ccccc23)o1,ASAP-0031187,Test,6.16,6.57,MultiTaskTutorialDataset_188,6.16,True,4.959431874880147
MultiTaskTutorialDataset_189,Cc1cncc(CC(=O)N2CCc3sccc3C2)c1,ASAP-0031213,Test,4.07,5.3,MultiTaskTutorialDataset_189,4.07,False,4.67075172307384
MultiTaskTutorialDataset_190,O=C(Cc1cncc2ccccc12)N1CCc2scnc2C1,ASAP-0031242,Test,4.63,5.92,MultiTaskTutorialDataset_190,4.63,True,4.578729957752437
MultiTaskTutorialDataset_191,CC(C)C1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031372,Test,4.85,6.13,MultiTaskTutorialDataset_191,4.85,False,4.668485286147299
MultiTaskTutorialDataset_192,O=C(Cc1cncc2ccccc12)N1CCc2sccc2C12CCC2,ASAP-0031411,Test,5.63,7.14,MultiTaskTutorialDataset_192,5.63,True,4.629096234805789
MultiTaskTutorialDataset_193,CC1(CC(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031442,Test,4.48,5.81,MultiTaskTutorialDataset_193,4.48,False,4.7440199800618394
MultiTaskTutorialDataset_194,CC(C)[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0031558,Test,5.62,7.08,MultiTaskTutorialDataset_194,5.62,True,4.790961265869096
MultiTaskTutorialDataset_195,CC(C)CNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,ASAP-0031921,Test,5.47,5.35,MultiTaskTutorialDataset_195,5.47,False,4.6747142931959775
MultiTaskTutorialDataset_196,CC(C)CC1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031922,Test,5.46,7.06,MultiTaskTutorialDataset_196,5.46,False,4.710730359069473
MultiTaskTutorialDataset_197,CC(C)NS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,ASAP-0031924,Test,4.91,5.51,MultiTaskTutorialDataset_197,4.91,False,4.6992587130724965
MultiTaskTutorialDataset_198,CNC(=O)C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031928,Test,4.21,,MultiTaskTutorialDataset_198,4.21,True,4.697199492995586
MultiTaskTutorialDataset_199,COC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0031934,Test,4.8,5.42,MultiTaskTutorialDataset_199,4.8,True,4.7971416742777295
MultiTaskTutorialDataset_200,COC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0031935,Test,5.5,6.58,MultiTaskTutorialDataset_200,5.5,True,4.7971416742777295
MultiTaskTutorialDataset_201,CCNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,ASAP-0031945,Test,4.21,6.67,MultiTaskTutorialDataset_201,4.21,False,4.642458038236178
MultiTaskTutorialDataset_202,O=C(Cc1cncc2ccccc12)N1CC[C@@H]2CCCC[C@@H]2C1,ASAP-0031946,Test,5.21,5.82,MultiTaskTutorialDataset_202,5.21,True,4.614917946892498
MultiTaskTutorialDataset_203,O=C(O)C[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031948,Test,8.8,,MultiTaskTutorialDataset_203,8.8,True,4.570039808373776
MultiTaskTutorialDataset_204,NC(=O)O[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031949,Test,4.28,,MultiTaskTutorialDataset_204,4.28,True,4.623916936578034
MultiTaskTutorialDataset_205,COC(=O)[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031951,Test,4.28,,MultiTaskTutorialDataset_205,4.28,True,4.6345521871519155
MultiTaskTutorialDataset_206,O=C(O)C[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0031952,Test,3.42,,MultiTaskTutorialDataset_206,3.42,True,4.582985829059251
MultiTaskTutorialDataset_207,CN(C)C(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031960,Test,4.21,4.55,MultiTaskTutorialDataset_207,4.21,True,4.828935446020808
MultiTaskTutorialDataset_208,COC(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031961,Test,4.32,4.49,MultiTaskTutorialDataset_208,4.32,True,4.6345521871519155
MultiTaskTutorialDataset_209,CNC(=O)C[C@@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0031964,Test,4.35,4.34,MultiTaskTutorialDataset_209,4.35,True,4.643329183306124
MultiTaskTutorialDataset_210,CN(C)C(=O)CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,ASAP-0031969,Test,4.73,5.21,MultiTaskTutorialDataset_210,4.73,True,4.666816894510983
MultiTaskTutorialDataset_211,CNC(=O)[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031973,Test,4.34,,MultiTaskTutorialDataset_211,4.34,True,4.734215570339477
MultiTaskTutorialDataset_212,CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031980,Test,4.27,5.68,MultiTaskTutorialDataset_212,4.27,True,4.720567835341518
MultiTaskTutorialDataset_213,CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031981,Test,4.94,4.58,MultiTaskTutorialDataset_213,4.94,True,4.720567835341518
MultiTaskTutorialDataset_214,C[C@H](C(=O)N1CCc2sccc2C1)c1cncc2ccccc12,ASAP-0031982,Test,4.2,,MultiTaskTutorialDataset_214,4.2,True,4.546616448118948
MultiTaskTutorialDataset_215,C[C@H](C(=O)N1CCc2sccc2C1)c1cncc2ccccc12,ASAP-0031983,Test,9.0,,MultiTaskTutorialDataset_215,9.0,True,4.546616448118948
MultiTaskTutorialDataset_216,C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032038,Test,4.27,4.37,MultiTaskTutorialDataset_216,4.27,True,4.587982203919061
MultiTaskTutorialDataset_217,C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032039,Test,4.28,4.19,MultiTaskTutorialDataset_217,4.28,True,4.587982203919061
MultiTaskTutorialDataset_218,C[C@H]1C[C@H](C(C)(F)F)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032061,Test,4.91,6.2,MultiTaskTutorialDataset_218,4.91,True,4.8284395555830955
MultiTaskTutorialDataset_219,C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032065,Test,4.06,4.64,MultiTaskTutorialDataset_219,4.06,True,4.642466031689913
MultiTaskTutorialDataset_220,C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032066,Test,4.35,5.33,MultiTaskTutorialDataset_220,4.35,True,4.642466031689913
MultiTaskTutorialDataset_221,CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032096,Test,4.41,5.28,MultiTaskTutorialDataset_221,4.41,True,4.706037374580519
MultiTaskTutorialDataset_222,CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032097,Test,3.8,4.34,MultiTaskTutorialDataset_222,3.8,True,4.706037374580519
MultiTaskTutorialDataset_223,O=C(O)C[C@@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032098,Test,4.25,,MultiTaskTutorialDataset_223,4.25,True,4.582985829059251
MultiTaskTutorialDataset_224,NC(=O)[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032104,Test,4.22,,MultiTaskTutorialDataset_224,4.22,True,4.692953618600245
MultiTaskTutorialDataset_225,CC(C)(O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032107,Test,4.26,4.55,MultiTaskTutorialDataset_225,4.26,True,4.630418221996796
